artist_name,track_name,duration_ms,time_signature,popularity
ZieZie,Fine Girl,163001,4,69
Hentaidesu,Polka Dots & Moonbeams,95425,4,39
Midnite String Quartet,Dreams,309293,4,9
Dirt Monkey,Peanut Butter Jelly Time,192000,4,29
Calexico,Flores y Tamales,168507,4,29
Julian Lage,Roger the Dodger,252754,3,29
Ryan Bingham,Bread and Water - Live,338700,4,29
New Years Day,Bizarre Love Triangle,247773,4,29
Citipointe Live,Where Revival Lives (Live),254747,4,29
SoDown,First Light,227043,4,19
Miguel,Adorn,193147,4,29
Sean Leon,Back (Never Going),255402,4,9
Chuck Strangers,Syl's Song,272044,4,19
Elvy The God,100 Grand,181858,5,19
Paul Williams,Nothing on Me,219330,4,29
Yiruma,Eve,173494,4,39
Akil Omari,Hold on,179580,4,29
Ana Senko,Vulnerable,198758,4,19
KZ,True Love,240000,3,9
Josh Mirenda,I Got You,170440,4,19
En Espíritu Y En Verdad,Me Dice el Salvador,226253,3,39
Shadi,Feel,233030,4,9
LoneMoon,talk sh!t,203894,4,19
Notation Nation,Earthly Sunset,88320,3,19
Empty Houses,You and I,217809,4,29
Marnik,Hymn (Till My Kingdom Comes),134457,4,49
Restless Modern,Doubt,227177,4,29
Genix,For Those We Lost,204375,4,19
Spin Andretti,I Know,194783,4,19
Bobbi Storm,Lazy Love,244359,3,9
La Factoria,Equivocado,165552,4,29
Floreyyyy,Perfection,191273,4,29
Monty Datta,What Do Normal People Do When They Get Sad,151909,4,39
The Gypsy Scholars,Cold Hands,257409,4,9
Citipointe Live,Heaven's Alive (Live),217360,4,29
Workout Citi,Full Focus,179054,4,29
Fvmeless,No Holidays,189654,4,19
Katie Pruitt,Katie Pruitt - Loving Her (OurVinyl Live EP),364625,4,29
Dan Bull,Hanzo on Hanzo Forth,231923,4,29
DJ Licious,Twisted Games (feat. Jack Hawitt),191949,4,39
ESTA.,Dreamland,130909,4,29
FrankJavCee,Million Ways to Love You,194000,4,29
Frankie J,Dame de Lo Tuyo - English Version,196924,4,29
Chad Graham,Reckless Love,219011,3,29
Hanne Leland,Hungover You - Moxors Remix,230999,4,29
Eyes Set To Kill,Saved You with a Lie,205640,4,29
Kollision,Ironic,227547,4,29
Don Vedda,Stop Drop and Roll,228147,4,19
Laura Pausini,Il coraggio di andare,225000,3,49
Workout Citi,Harder This Time,221147,4,29
Remmy Valenzuela,Espero Con Ansias - En Vivo,232067,4,39
Larry June,Prices Goin' Up,132667,3,19
YWAM Kona Prayer Room,To the Ends of the Earth for Love,300913,4,19
The Shanghai Restoration Project,Dubalonia Radio International,306667,4,29
Earthless,Electric Flame,531200,4,29
Massaka,Hapiste Volta,255000,4,29
Medicine Man Revival,Voodoo Queen,271057,4,29
Diamond White,Westside Weekends,211670,4,19
Frédéric Chopin,"Études, Op. 10: X. Etude in A-Flat Major",131067,1,19
Masicka,CRAB INNA BARELL,167500,4,29
L.A. Salami,A Man; A Man Without Warning (certified),302447,4,19
Juliana Hatfield,Have You Never Been Mellow,212994,4,19
JNXD,Hard Is My Style,159833,4,49
Kruzi,Shark Me,123977,4,29
GOLDA,Good Lovin',197538,4,19
Doug DeLuca,Gimme Love,184114,4,19
Eric Nally,Spirits,180827,4,29
Millionyoung,What to Do,193000,4,19
Dead Meadow,Keep Your Head,382560,4,29
Brodinski,Get Lit (feat. Hoodrich Pablo Juan),196314,4,19
Slugdge,The Spectral Burrows,349507,4,29
Caroline Jones,Tough Guys,197867,4,29
Jacob Sigman,Let Go,117136,3,29
Leah James,That Fateful Day,264240,4,29
L7,I Came Back to Bitch,185013,4,19
Miles Davis,"Walkin' - Live from Konserthuset, Stockholm",981453,4,29
Shame,Donk,101549,4,39
Eels,Archie Goodnight,48149,3,29
Kiony,Karma,224040,4,19
Oso Oso,the bearer of the truths,154559,3,29
The Moondoggies,Sick in Bed,342821,4,19
Jooba Loc,Come from Nothing,158534,4,19
Hailu Mergia,Lala Belu,282435,4,29
Siddhartha Khosla,Kevin’s Necklace (Number One),219883,4,29
DopemanBeats,In My Own Lane,96131,4,29
Ravitez,2012,174400,4,29
YDG,Hold Still,216000,4,29
Aldair Playboy,Amor Falso,177816,4,69
Christopher Lennertz,Alien Ship,214227,4,9
Subtronics,Blastin,244966,4,39
Penthouse Penthouse,To The Sun,238855,4,39
L.A. Salami,Science + Buddhism = A Reality You Can Know,217871,4,19
Moneybagg Yo,Like That (feat. Tru Dexter),137352,4,19
Sordal,Riding the wind,298884,4,9
BernardNigga,Adderall,120862,4,29
FalKKonE,"Crash! Gourmet Race (From ""Kirby Super Star"")",199248,4,19
Waylon,Outlaw In 'Em - Single Edit,176163,4,49
Madison Ryan,Best of Me,203636,4,9
Jose Guapo,Old Guwop Flow,176065,4,19
Project Destati,Aqua,228387,4,29
Black P,Mis Idolos - Merengue,189493,4,29
Ziggy,Tomahawk,213689,4,9
Maine Musik,Intro,215771,4,19
Cut Chemist,Rhythm Method,263587,4,29
Rivals,Low,191627,4,29
Steep Canyon Rangers,Out in the Open,205227,4,29
Grayson Word,Different Kind of Free,197077,4,9
Lil Bo Weep,how can i be happy without u,126826,4,39
Happy Colors,San Francisco de Macorís,203000,4,19
FalKKonE,"Spear of Justice (From ""Undertale"")",344968,3,19
Ocean Alley,Corduroy,194112,4,49
Rain for Deep Sleep,Rain Sleep,145631,3,29
The Brilliance,Hands and Feet,328376,4,29
Tre Capital,CARRY ON,159168,4,9
DJ Heure,Eastbound,339518,4,9
Kacy & Clayton,Bend In The Water,206096,4,19
Grum,Hourglass (ABGT274),228480,4,9
Frédéric Chopin,"Études, Op. 10: XI. Etude in E-Flat Major",146907,4,19
Little Comets,The Punk Is in the Detail,210005,4,29
Adan Cruz,Estoy Dispuesto a Todo,221913,4,29
Adan Cruz,Con la Frente en Alto,232133,4,29
JackLNDN,Fuck With Me,199459,4,19
H.I.M.,Like You Hate Me,153000,4,19
Anthony Santos,La Jaula de Oro,317991,4,29
Sik-K,Another 0 (feat. The Quiett) [Prod. GroovyRoom],222198,4,29
Saul El Jaguar Alarcón,Quién Te Dio Permiso - Versión Norteña,181067,4,29
Air Supply,Two Less Lonely People In the World,241280,4,39
IAMX,Body Politics,231973,4,29
FalKKonE,"Heartache (From ""Undertale"")",352930,3,19
Workout Citi,Everlasting,184335,4,29
Elvy The God,1;1,81412,4,19
Masicka,Dem Nuh Happy Fi We,182079,4,39
Andhim,Stay Close to Me - Radio Edit,200000,4,39
Curtsy,Life Through a Glass,222223,4,9
Colin John,Flying Past The Moon,199877,4,29
Adithi Singh Sharma,Miami,222750,4,29
Luis la Fama,Vete De Mi,248816,4,29
Ilan Bluestone,Let Me Know (ABGT277),209077,4,9
Adan Cruz,El Síndrome de Estocolmo,161707,4,29
David Osborne,I Can't Make You Love Me,191373,4,19
Jay Worthy,Cortez,167262,4,19
Baby Sweet Dream,Fan White Noise Sounds,150263,0,29
Jonathan Wilson,Rare Birds,326628,4,29
Young Lungs,Kamikaze,91765,4,29
mt. fujitive,brise,91433,4,29
Emapea,Cloud 9,274395,4,19
Yoga Tranquility 365,Eternal Peace,160620,4,29
Cedar House,Jilted Lover,243694,4,29
